,Zip,Population,Children,Age,Education,Income,Churn,Outage_sec_perweek,Email_Count,Contacted_Count,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,index,Education_Numeric,Income_Numeric,Age_Numeric,Contract_Numeric,InternetService_Numeric,Population_z,Age_z,Education_Numeric_z,Income_z,Outage_sec_perweek_z,Yearly_equip_failure_z,Tenure_z,MonthlyCharge_z,Bandwidth_GB_Year_z,Contract_Numeric_z,InternetService_Numeric_z
0,99927,38,1.0,68.0,Master's Degree,28561.99,0,6.972566092999999,10,0,1,0.0,One year,1,1,Fiber Optic,1.0,1,1,0,0.0,0,1,1,6.795512947000001,171.44976210000002,904.5361101999999,0,18,1.0,2.0,1,2,-0.6734047863312665,0.8216888488390433,1.5332340698278768,-0.391731149114772,-0.63772608740435,0.9466579047036832,-1.1064191167822268,-0.06061257005043884,-1.2026499682545648,0.3605103151515938,0.9953167680298695
1,48661,10446,1.0,27.0,Regular High School Diploma,21704.77,1,12.01454108,12,0,1,1.0,Month-to-month,0,1,Fiber Optic,1.0,1,0,0,0.0,1,1,1,1.156680997,242.94801549999997,800.9827661,1,12,1.0,4.0,0,2,0.047771528401848895,-1.4557654558694766,-0.33186292534024864,-0.6688282132942641,0.07993457759718363,0.9466579047036832,-1.3303462108456272,1.5893481511215641,-1.2526126228176275,-0.8356088459353134,0.9953167680298695
2,97148,3735,4.0,50.0,Regular High School Diploma,33186.785,0,10.24561565,9,0,1,1.0,Two Year,1,0,DSL,1.0,0,0,0,0.0,0,1,1,15.75414408,159.44039840000002,2054.706961,2,12,1.0,2.0,2,1,-0.41723752695690763,-0.17816913859396546,-0.33186292534024864,-0.20484533869422333,-0.17184933717929093,0.9466579047036832,-0.7506574529861282,-0.33775190491521023,-0.6477129026632273,1.5566294762385011,-0.2937866745680705
3,92014,13863,1.0,48.0,Doctorate Degree,18925.23,0,15.20619309,15,2,0,1.0,Two Year,0,0,DSL,1.0,1,0,0,0.0,1,0,1,17.08722662,120.2494934,2164.579412,3,26,1.0,3.0,2,1,0.2845374265036029,-0.28926447053096643,4.020030063385377,-0.7811481292032573,0.5342254278802296,-0.6258635316811727,-0.6977185993412954,-1.2421579680314812,-0.5947013909344621,1.5566294762385011,-0.2937866745680705
4,77461,11352,0.0,83.0,Master's Degree,40074.19,1,8.960316419,16,2,1,0.0,Month-to-month,1,0,Fiber Optic,0.0,0,0,0,1.0,1,0,0,1.6709717259999999,150.7612159,271.49343619999996,4,18,1.0,3.0,0,2,0.11054879023392063,1.6549038383665504,1.5332340698278768,0.0734714872666113,-0.3547952469118295,0.9466579047036832,-1.309922898097547,-0.5380408565455095,-1.5080818470570128,-0.8356088459353134,0.9953167680298695
5,31030,17701,3.0,83.0,No Schooling Completed,33186.785,0,7.814858954,15,3,1,0.0,One year,1,0,None,1.0,1,1,1,0.0,0,1,0,7.000993555,184.4015581,1039.357983,5,0,1.0,3.0,1,0,0.5504746570902379,1.6549038383665504,-4.062056915676499,-0.20484533869422333,-0.5178364694848107,0.9466579047036832,-1.0982591510581514,0.23827521604802038,-1.137600802370104,0.3605103151515938,-1.5828901171660106
6,37847,2535,0.0,53.0,Associate's Degree,11467.5,1,11.12909443,10,0,1,1.0,Month-to-month,0,0,DSL,1.0,0,0,0,1.0,1,1,0,13.23677381,200.0648859,1907.2429719999998,6,14,1.0,2.0,0,1,-0.5003862181252146,-0.011526140688464024,0.2898360730491265,-1.0825115225963997,-0.046097430356206955,0.9466579047036832,-0.8506262788424648,0.5997368518764773,-0.7188616657179807,-0.8356088459353134,-0.2937866745680705
7,73109,23144,2.0,53.0,Bachelor's Degree,26759.64,1,7.594838367,16,0,0,1.0,Month-to-month,0,0,DSL,0.0,0,1,0,0.0,0,0,1,36.19603,114.7541111,979.6127078,7,16,1.0,2.0,0,1,0.9276232621144834,-0.011526140688464024,0.9115350714385017,-0.46456327257353636,-0.5491535865247741,-0.6258635316811727,0.06112274401746266,-1.368974561607512,-1.1664268395448196,-0.8356088459353134,-0.2937866745680705
8,34771,17351,2.0,49.0,"Some College, Less than 1 Year",58634.51,0,6.637258801000001,20,2,3,0.0,Month-to-month,1,0,DSL,1.0,1,1,0,0.0,0,0,1,8.220686373,118.3668439,1312.874964,8,12,2.0,3.0,0,1,0.5262229554994817,-0.23371680456246596,-0.33186292534024864,0.8234853678526084,-0.6854527926690587,4.0917007774733944,-1.049823185807451,-1.2856037527747222,-1.005633703117008,-0.8356088459353134,-0.2937866745680705
9,45237,20193,1.0,86.0,GED or Alternative Credential,50231.4,0,9.230409493,18,1,0,0.0,Two Year,1,0,Fiber Optic,1.0,1,0,1,1.0,0,1,1,3.4220861389999997,163.0052796,508.7637913,9,12,2.0,3.0,2,2,0.723146772416422,1.821546836272052,-0.33186292534024864,0.483919609283198,-0.3163509516507613,-0.6258635316811727,-1.2403833258328285,-0.2554853644622867,-1.3936031028605087,1.5566294762385011,0.9953167680298695
10,18830,555,7.0,23.0,Regular High School Diploma,33186.785,0,11.83511269,9,0,2,0.0,Month-to-month,0,0,DSL,1.0,1,1,0,0.0,1,0,0,19.26726194,177.451599,2728.7678690000002,10,12,1.0,4.0,0,1,-0.637581558552921,-1.6779561197434785,-0.33186292534024864,-0.20484533869422333,0.05439524072630151,2.519179341088539,-0.6111458873875059,0.0778914446487608,-0.32249045240275087,-0.8356088459353134,-0.2937866745680705
11,783,33372,2.0,56.0,Bachelor's Degree,18342.12,0,5.08282075,17,1,1,0.0,Month-to-month,1,0,Fiber Optic,1.0,0,0,1,0.0,1,0,0,36.19603,148.36408740000002,1180.588788,11,16,1.0,2.0,0,2,1.6363272731723528,0.15511685721703744,0.9115350714385017,-0.8047113325267183,-0.9067071718083157,0.9466579047036832,0.06112274401746266,-0.593359240988757,-1.0694594402035276,-0.8356088459353134,0.9953167680298695
12,52739,556,0.0,83.0,Master's Degree,83671.08,0,7.265960814,9,0,0,0.0,Month-to-month,1,0,Fiber Optic,1.0,0,0,0,0.0,1,0,0,13.01149229,136.4312394,1196.3880179999999,12,18,2.0,3.0,0,2,-0.6375122679769475,1.6549038383665504,1.5332340698278768,1.835201492481007,-0.5959651006633027,-0.6258635316811727,-0.8595725706573479,-0.8687328278310325,-1.0618365915383015,-0.8356088459353134,0.9953167680298695
